id,code,AggIndex,SMILES,inventor,color_in_powder,patent,reference,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,corresponding_author,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,report_year,application1,application2,application3,application4,pka,comment,doi,tested_solvent
1948,(S)-1,,FC1=C(F)C(F)=C(F)C(F)=C1[Au]C#[N]C(C=C2)=CC=C2OC3=C(C4=C(OC5=CC=C([N]#C[Au]C6=C(F)C(F)=C(F)C(F)=C6F)C=C5)C=CC7=CC=CC=C74)C8=CC=CC=C8C=C3,Jing Zhang,white,2.01911E+11,"ACSNano2019,13,3618−3628",1216,335,,,560,,,,,,,,,,AIE,other,1,,1,,1,,1,,0,TANG Ben Zhong,,,,,1,2019,self-assembly,chirality amplification,CPL induction,,,,10.1021/acsnano.9b00218,THF
1949,(R)-1,,FC1=C(F)C(F)=C(F)C(F)=C1[Au]C#[N]C(C=C2)=CC=C2OC3=C(C4=C(OC5=CC=C([N]#C[Au]C6=C(F)C(F)=C(F)C(F)=C6F)C=C5)C=CC7=CC=CC=C74)C8=CC=CC=C8C=C3,Jing Zhang,white,2.01911E+11,"ACSNano2019,13,3618−3628",1216,335,,,560,,,,,,,,,,AIE,other,1,,1,,1,,1,,0,TANG Ben Zhong,,,,,1,2019,self-assembly,chirality amplification,CPL induction,,,,10.1021/acsnano.9b00218,THF
1950,TPE-TTPy-Au,,FC1=C(F)C(F)=C(F)C(F)=C1[Au][N](C=C2)=CC=C2/C(C#N)=C/C(S3)=CC=C3C(C=C4)=CC=C4N(C5=CC=CC=C5)C(C=C6)=CC=C6C(C=C7)=CC=C7/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10,Jing Zhang,deep purple,,"Adv.Funct.Mater.2022,32,2108199",1150,470,635,,628,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,"ZHENG Lei, TANG Ben Zhong",,,,,1,2022,cell imaging,two-photon imaging,CT imaging,anticancer,,,10.1002/adfm.202108199,THF
1951,TPE-TTPy-Au,,FC1=C(F)C(F)=C(F)C(F)=C1[Au][N](C=C2)=CC=C2/C(C#N)=C/C(S3)=CC=C3C(C=C4)=CC=C4N(C5=CC=CC=C5)C(C=C6)=CC=C6C(C=C7)=CC=C7/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10,Jing Zhang,red,,"Adv.Funct.Mater.2022,32,2108199",1149,469.997,635,,628,,,0.05,,,,,,,AIE,TICT,1,1,1,0,1,1,1,,0,"ZHENG Lei, TANG Ben Zhong",,,,,1,2022,cell imaging,two-photon imaging,CT imaging,anticancer,,,10.1002/adfm.202108199,THF
1952,TPEIPAu,,C[N+]1=C([Au]P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)N(C=C1)C(C=C5)=CC=C5/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)C8=CC=CC=C8.FP(F)(F)(F)F.[F-],Jing Zhang,white,,"Angew.Chem.Int.Ed.2020,59,7097-7105",1017,365,,,470,,,,,,,,,,AIE,other,1,,1,,1,1,1,,0,"ZHENG Lei, TANG Ben Zhong",,,,,1,2020,"cell imaging, Distinguish tumor cells and normal cells","anticancer, TrxR inhibition",Radiotherapy sensitization,,,,10.1002/anie.202000048,ACN
1953,TPEIPAu,,C[N+]1=C([Au]P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)N(C=C1)C(C=C5)=CC=C5/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)C8=CC=CC=C8.FP(F)(F)(F)F.[F-],Jing Zhang,yellow,,"Angew.Chem.Int.Ed.2020,59,7097鈥?105",1200,365,,,470,,,,,,,,,,AIE,other,1,1,1,0,1,1,1,0,0,"ZHENG Lei, TANG Ben Zhong",,,,,1,2020,"cell imaging, Distinguish tumor cells and normal cells","anticancer, TrxR inhibition",Radiotherapy sensitization,,,,10.1002/anie.202000048,THF
1954,NDTB,,COC(C=C1)=CC=C1N(C2=CC=C(C3=C(CC(CCCC)CC)C=C(C4=C5C(N=S=N5)=C(C(S6)=CC(CC(CC)CCCC)=C6C(C=C7)=CC=C7N(C8=CC=C(OC)C=C8)C9=C(C=CC=C%10)C%10=CC=C9)C%11=NSN=C%114)S3)C=C2)C%12=C(C=CC=C%13)C%13=CC=C%12,Heqi Gao,green,,"Mater.Chem.Front.,2021,5,3388–3395",1229.692,810,1100,,,,,,,,,,,,ACQ,TICT,1,,1,,1,,1,,0,Zou Huiru/Ding Dan,,,,,,2021,Dentin hypersensitivity treatment,,,,,,10.1039/d0qm01006e,THF
1955,CBA-CH3,,CC(C(C=C1)=CC=C1N(C2=CC=CC=C23)C4=C3C=CC=C4)=O,Heqi Gao,whitish yellow,,"Small2021,2005449",285.346,365,450,,430,430,,,,25.12,,,,868000000,RTP,ICT,1,,1,1,1,1,1,1,0,Ding Dan,,,,,1,2021,cell imaging,tumor imaging,,,,,10.1002/smll.202005449,THF
1956,CBA-C2H5,,O=C(CC)C(C=C1)=CC=C1N(C2=CC=CC=C23)C4=C3C=CC=C4,Heqi Gao,white,,"Small2021,2005449",299.373,365,450,,430,430,,,,51.59,,,,207000000,RTP,ICT,1,,1,1,1,1,1,1,0,Ding Dan,,,,,1,2021,做对比没有应用,,,,,,10.1002/smll.202005449,THF
1957,CBA-C3H7,,O=C(CCC)C(C=C1)=CC=C1N(C2=CC=CC=C23)C4=C3C=CC=C4,Heqi Gao,white,,"Small2021,2005449",313.4,365,450,,420,430,,,,41.72,,,,323000000,RTP,ICT,1,,1,1,1,1,1,1,0,Ding Dan,,,,,1,2021,做对比没有应用,,,,,,10.1002/smll.202005449,THF
1958,CBA-C4H9,,O=C(CCCC)C(C=C1)=CC=C1N(C2=CC=CC=C23)C4=C3C=CC=C4,Heqi Gao,whitish yellow,,"Small2021,2005449",327.427,365,430,,420,430,,,,31.46,,,,601000000,AIE,ICT,1,,1,1,1,1,1,1,0,Ding Dan,,,,,1,2021,tumor imaging,,,,,,10.1002/smll.202005449,THF
1959,4a,,OC(C=CC(OC)=C1)=C1C2=NC3=CC=CC=C3S2,Shiwu Li,white,,"Chem.Sci.,2018,9,5730-5735",257,362,404,570,,,0.012,0.401,,,0.94,4.88,,,AIE,ESIPT,1,,1,,1,,1,,0,"GAO Meng, TANG Ben Zhong",,,,,1,2018, lipid droplets targeting,photoactivatable imaging,,,,photoactivatable organelle imaging,10.1039/c8sc01887a,THF
1960,4b,,OC(C=CC(CN1CCOCC1)=C2)=C2C3=NC4=CC=CC=C4S3,Shiwu Li,gray,,"Chem.Sci.,2018,9,5730-5735",326,341,446,523,,,0.011,0.284,,,1.56,6.39,,,AIE,ESIPT,1,,1,,1,,1,,0,"GAO Meng, TANG Ben Zhong",,,,,1,2018,lysosomes targeting,photoactivatable imaging,,,,photoactivatable organelle imaging,10.1039/c8sc01887a,THF
1961,SA-4CO2Na,,OC1=CC=C(CN(CC(O[Na])=O)CC(O[Na])=O)C=C1/C=N/N=C/C2=CC(CN(CC(O[Na])=O)CC(O[Na])=O)=CC=C2O,Meng Gao,light-yellow,,"ACSAppl.Mater.Interfaces2018,10,14410−14417",618,351,544,539,541,,0.0023,0.106,0.052,,1.32,2.48,2.24,,AIE,ESIPT,,,1,,1,,0,,1,"REN Li, TANG Ben Zhong",,,,,,2018,calcium ions detection,bone microcracks detection,,,,calcium ions detection,10.1021/acsami.8b00952,water
1962,TPA-TQ1,,C1(N(C2=CC=CC=C2)C3=CC=C(C4=C(N=CC=N5)C5=C(C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)C9=NSN=C94)C=C3)=CC=CC=C1,Heqi Gao,bule,,"Angew.Chem.2021,133,21215-21223",674.826,587,811,,820,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,Zheng Xiaoyan/Qi Ji/Ding Dan,,,,,1,2021,tumor imaging,,,,,,10.1002/ange.202109048,THF
1963,TPA-TQ2,,C1(N(C2=CC=CC=C2)C3=CC=C(C4=C(N=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=N7)C7=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)C%11=NSN=C%114)C=C3)=CC=CC=C1,Heqi Gao,dark blue,,"Angew.Chem.2021,133,21215-21223",827.022,609,819,,820,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,Zheng Xiaoyan/Qi Ji/Ding Dan,,,,,1,2021,tumor imaging,,,,,,10.1002/ange.202109048,THF
1964,TPA-TQ3,,C1(N(C2=CC=CC=C2)C3=CC=C(C4=C(N=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C5)C(C9=CC=C(/C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C9)=N%13)C%13=C(C%14=CC=C(N(C%15=CC=CC=C%15)C%16=CC=CC=C%16)C=C%14)C%17=NSN=C%174)C=C3)=CC=CC=C1,Heqi Gao,dark,,"Angew.Chem.2021,133,21215-21223",1335.686,614,822,,820,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,Zheng Xiaoyan/Qi Ji/Ding Dan,,,,,1,2021,tumor imaging,,,,,,10.1002/ange.202109048,THF
1965,TPR,,COC1=CC=C(/C(C2=CC=C(OC)C=C2)=C(C3=CC=CC=C3)/C4=CC=C(/C=C5C(N(CC(O)=O)C(S5)=S)=O)C=C4)C=C1,Xiaohui Chen,red,,"ACSNano2020,14,5121−5134",593.712,429,604,,627,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,Jin Qiao/Ding Dan,,,,,1,2020,cell imaging,tumor imaging,,,,,10.1021/acsnano.0c02197,THF
1966,TPE-PR-COOH,,COC(C=C1)=CC=C1/C(C2=CC=C(OC)C=C2)=C(C3=CC=C(C4=CC=C(/C=C5C(N(CC(O)=O)C(S/5)=S)=O)C=C4)C=C3)/C6=CC=CC=C6,Jun Li,red,,"SciChinaChem,2020,63:1428-1434",699.81,430,,,624,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,Liu Ruihua/Liu Qian/Ding Dan,,,,,1,2020,cell imaging,anticancer,,,,,10.1007/s11426-020-9846-4,THF
1967,2DMTT-TBZ,,CN(C)C(C=C1)=CC=C1/C(C2=CC=C(N(C)C)C=C2)=C(C3=CC=CC=C3)C4=CC=C(C5=CC(CCCCCCCC)=C(C6=C(N=S=N7)C7=C(C(S8)=C(CCCCCCCC)C=C8C(C=C9)=CC=C9/C(C%10=CC=CC=C%10)=C(C%11=CC=C(N(C)C)C=C%11)/C%12=CC=C(N(C)C)C=C%12)C%13=NN(CC(CCCC)CC)N=C%136)S5)C=C4,Sheng Zeng,brown,,"Adv.HealthcareMater.2021,2101063",1511.209,603,729,,,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,Qian Liu/Feng Guangxue/Ding Dan,,,12100,,1,2021,anticancer,,,,,,10.1002/adhm.202101063,
1968,2DMTT-BBTD,,CN(C)C(C=C1)=CC=C1/C(C2=CC=C(N(C)C)C=C2)=C(C3=CC=CC=C3)C4=CC=C(C5=CC(CCCCCCCC)=C(C6=C(N=S=N7)C7=C(C(S8)=C(CCCCCCCC)C=C8C(C=C9)=CC=C9/C(C%10=CC=CC=C%10)=C(C%11=CC=C(N(C)C)C=C%11)/C%12=CC=C(N(C)C)C=C%12)C%13=NSN=C%136)S5)C=C4,Sheng Zeng,brown,,"Adv.HealthcareMater.2021,2101063",1416.038,696,931,,,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,Liu Qian/Feng GuangXue/Ding Dan,,,,,1,2021,anticancer,,,,,,10.1002/adhm.202101063,
1969,TPE-T-RO,,COC1=CC=C(/C(C2=CC=C(OC)C=C2)=C(C3=CC=CC=C3)/C4=CC=C(C5=CC=C(/C=C6C(N(CC)C(S/6)=O)=O)S5)C=C4)C=C1,Kai Wang,yellow,,"Adv.Mater.2022,34,2106994",629.789,411,586,,578,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,Wang Ting/Ding Dan,,,27400,,1,2022,,,,,,,10.1002/adma.202106994,THF
1970,TPE-T-RS,,COC1=CC=C(/C(C2=CC=C(OC)C=C2)=C(C3=CC=CC=C3)/C4=CC=C(C5=CC=C(/C=C6C(N(CC)C(S/6)=S)=O)S5)C=C4)C=C1,Kai Wang,orange,,"Adv.Mater.2022,34,2106994",645.85,465,633,,633,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,Wang Ting/Ding Dan,,,21000,,1,2022,,,,,,,10.1002/adma.202106994,THF
1971,TPE-T-RCN,,COC1=CC=C(/C(C2=CC=C(OC)C=C2)=C(C3=CC=CC=C3)/C4=CC=C(C5=CC=C(/C=C6C(N(CC)/C(S/6)=C(C#N)C#N)=O)S5)C=C4)C=C1,Kai Wang,dark red,,"Adv.Mater.2022,34,2106994",677.837,467,652,,660.999,,,,,,,,,,AIE,TICT,1,,1,,1,,1,,0,Wang Ting/Ding Dan,,,29500,,1,2022,atherosclerosis targeting,,,,,,10.1002/adma.202106994,THF
1972,TPE-TV-CyP,,COC1=CC=C(C=C1)/C(C2=CC=C(C=C2)OC)=C(C3=CC=C(C=C3)C4=CC=C(S4)/C=C(C5=CC=C(C=C5)C6=CC=[N+](C=C6)C)C#N)/C7=CC=CC=C7.FP(F)(F)(F)F.[F-],Chao Chen,red,,"J.Am.Chem.Soc.2022,144,3429−3441",883.849,448,640,,643,,,,,,,,,,AIE,TICT,1,,1,,,,1,,0,Ding Dan,,,,,1,2022,acute inflammation,,,,,,10.1021/jacs.1c11455,THF
1973,TPAP-BB,,C1(N(C2=CC=C(C3=[N]4C=CC=C3)C(B4(C5=CC=CC=C5)C6=CC=CC=C6)=C2)C7=CC=CC=C7)=CC=CC=C1,Dongfeng Dang,yellow,,"Chem.Mater.2018,30,7892−7901",486.425,392,485,,485,,0.694,0.884,,,5.42,5.8,,,AIE,other,1,0,1,0,1,1,1,1,0,TANG benzhong,,,,,1,2018,cell  imaging,vivo imaging,,,,,10.1021/acs.chemmater.8b03495,THF
1974,2a,,O=C1C2=C(C=CC=C2)C3=C(C#N)C(N4CCOCC4)=NC(C(C=C5)=CC=C5N(C6=CC=CC=C6)C7=CC=CC=C7)=C31,Meng Gao;Huifang Su,orange red,,"Chem.Sci.,2017,8,1763-1768",534,409,624,620,,,0.006,0.12,,,1.16,3.95,,,AIE,TICT,,1,0,0,1,0,1,1,0,"QIN An Jun, TANG Ben Zhong",,,,,,2017, lipid droplets targeting,,,,, lipid droplets photoactivatable imaging,10.1039/c6sc04842k,THF
1975,IND-TPA,,O=C1C2=C(C=CC=C2)C(/C1=CC(C=C3)=CC=C3N(C4=CC=CC=C4)C5=CC=CC=C5)=O,"Meng Gao , Huifang Su",red,,"Chem.Commun.,2017,53,921-924.",401,478,594,,612,,6.9,,10.2,,1.3,,2.6,,AIE,TICT,1,,1,1,1,,1,,0,"QIN An Jun, TANG Ben Zhong",,,,,,2016,lipid droplets targeting,NIR two-photon excitation,,,,lipid droplet imaging,10.1039/c6cc09471f,THF
1977,DPA-TPE-SCP,,N#C/C(C1=CC=C(C2=CC=[N+](C)C=C2)C=C1)=CC(C=C3)=CC=C3/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C(C=C6)=CC=C6N(C7=CC=CC=C7)C8=CC=CC=C8.F[P-](F)(F)(F)(F)F,"ShaoRui Jia , ZhiYuan Gao",red,,"CCSChemistry,2022,4(2):501-514.",863.28,350,638,,,,,,,,,,,,AIE,ICT,1,1,1,1,1,1,1,1,1,DING Dan,,,,,1,2022,sonodynamic therapy,anti-tumor immunotherapy,immunogenic cell death,,,,10.31635/ccschem.021.202101458,DMSO
1978,DPA-TPE-SCP,,N#C/C(C1=CC=C(C2=CC=[N+](C)C=C2)C=C1)=CC(C=C3)=CC=C3/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C(C=C6)=CC=C6N(C7=CC=CC=C7)C8=CC=CC=C8.F[P-](F)(F)(F)(F)F,"ShaoRui Jia , ZhiYuan Gao",red,,"CCSChemistry,2022,4(2):501-514.",863.28,350,638,,,,,,,,,,,,AIE,ICT,1,1,1,1,1,1,1,1,1,DING Dan,,,,,1,2022,sonodynamic therapy,anti-tumor immunotherapy,immunogenic cell death,,,,10.31635/ccschem.021.202101458,DMSO
1979,TPA-2Ph-SCP,,C[N+](C=C1)=CC=C1C(C=C2)=CC=C2/C([N+]#[C-])=C/C(C=C3)=CC=C3/C=C(C4=CC=CC=C4)/C(C=C5)=CC=C5N(C6=CC=CC=C6)C7=CC=CC=C7,"ShaoRui Jia , ZhiYuan Gao",red,,"CCSChemistry,2022,4(2):501-514.",642.29,382,630,,,,,,,,,,,,AIE,ICT,1,1,1,1,1,1,1,1,1,DING Dan,,,,,1,2022,anti-tumor immunotherapy,sonodynamic therapy,immunogenic cell death,,,,10.31635/ccschem.021.202101458,DMSO
1980,TPA-Ph-SCP,,C[N+](C=C1)=CC=C1C(C=C2)=CC=C2/C([N+]#[C-])=C/C(C=C3)=CC=C3/C=C/C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6,"ShaoRui Jia , ZhiYuan Gao",red,,"CCSChemistry,2022,4(2):501-514.",566.25,447,628,,,,,,,,,,,,AIE,ICT,1,1,1,1,1,1,1,1,1,DING Dan,,,,,1,2022,anti-tumor immunotherapy,sonodynamic therapy,immunogenic cell death,,,,10.31635/ccschem.021.202101458,THF
1981,"2,4,6-TMe-DPE",,CC1=C(/C=C/C2=C(C)C=C(C)C=C2C)C(C)=CC(C)=C1,Haoke Zhang,white,CN110225957,"Mater.Chem.Front.,2019,3,1143-1150.",264.188,265,370,,370,,0.6,,,,,,,,AIE,neutral aromatic,1,1,1,1,1,1,1,1,0,TANG Ben Zhong,,,,,1,2019,,,,,,,10.1039/c9qm00156e,THF
1982,TPM,,C1(C(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,Jianyu ZHANG ,white,,"J.Am.Chem.Soc.2021,143,9565−9574.",244,264,285,,400,,,,,,,,2.7,,AIE,clusterluminescence,1,1,1,1,1,1,1,1,0,ZHANG Haoke,,,,,1,2021,,,,,,,10.1021/jacs.1c03882,THF
1983,TPM-MO,,COC1=CC=C(C(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)C=C1,Jianyu ZHANG ,white,,"J.Am.Chem.Soc.2021,143,9565−9574.",334,278,300,,440,,,,,,2.6,,6.3,,AIE,neutral aromatic,1,1,1,1,1,1,1,1,0,ZHANG Haoke,,,,,1,2021,,,,,,,10.1021/jacs.1c03882,THF
1984,TPM-DMA,,CN(C)C1=CC=C(C(C2=CC=C(N(C)C)C=C2)C3=CC=C(N(C)C)C=C3)C=C1,Jianyu ZHANG ,,373,"J.Am.Chem.Soc.2021,143,9565−9574.",373,306,358,,460,,,,,,3.3,,6.9,,AIE,ESIPT,1,1,1,1,1,1,1,1,0,ZHANG Haoke,,,,,1,2021,,,,,,,10.1021/jacs.1c03882,THF
1985,AIE-R,,C[N+](C=C1)=CC=C1/C=C/C(S2)=CC=C2C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3.F[P-](F)(F)(F)(F)F,YaBi Yang,Red,,"Adv.Mater.2021,33,2105418",590.13,478,682,668,665,,0.5,9.6,8.9,,,2.42,,,AIE,ICT,1,,1,1,1,,1,,1,JI Xiao Fan,,,,,1,2021,information storage,,,,,,10.1002/adma.202105418,DMSO
1986,AIE-G,,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C(/C(C4=CC=C(C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)C=C4)=C(C8=CC=C(C9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C9)C=C8)/C%12=CC=C(C%13=CC=C(N(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=C%13)C=C%12)C=C1,Xiaofan Ji,bright green,,"Adv.Mater.2019,31,1902365",1228.54,386,544,501,544,,0.18,,,,,,,,AIE,ESIPT,1,,1,,1,,1,,0,Jonathan L. Sessler and Tang Ben Zhong ,,,,,1,2019,,,,,,,10.1002/adma.201902365,THF
1987,AIE-Y,,CC[N+](C=C1)=CC=C1C(C=C2)=CC=C2/C(C3=CC=CC=C3)=C(C4=CC=CC=C4)/C5=CC=CC=C5.[Br],YaBi Yang,white,,"Adv.Mater.2021,33,2105418",517.14,369.999,519,,,,,,,,,,,,AIE,ICT,1,,1,,1,,,1,1,JI Xiao Fan,,,,,1,2021,information storage,,,,,,10.1002/adma.202105418,water
1988,AIE-Y,,[O]C1=C(C2=C(C=CC=C3)C3=CC=C2[O])C4=CC=CC=C4C=C1.CC5=C(C)C(C#N)=C(N6C(C=CC(C(C)(C)C)=C7)=C7C8=C6C=CC(C(C)(C)C)=C8)C(N9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)=C5C#N,JiXiao Fan,yellow,,"Adv.Mater.2019,31,1902365",882.39,420,530,538,530,,44.44,19.6,,,,1.43,,,AIE,TICT,1,1,1,1,1,1,1,1,1,Jonathan L. Sessler and Tang Ben Zhong ,,,,,1,2019,,,,,,,10.1002/adma.201902365,Toluene
1989,AIE-O,,[O]C1=C(C2=C(C=CC=C3)C3=CC=C2[O])C4=CC=CC=C4C=C1.CC5=C(C)C(C#N)=C(F)C(N(C6=C7C=CC=C6)C8=C(C7(C)C)C=CC=C8)=C5C#N,JiXiao Fan,orange,,"Adv.Mater.2019,31,1902365",665.24,450,585,580,585,,,5.3,,,,0.46,,,AIE,TICT,1,,1,,1,,1,1,,Jonathan L. Sessler and Tang Ben Zhong ,,,,0.001,1,2019,,,,,,,10.1002/adma.201902365,Toluene
1990,AIE-R,,C/C(C1=CC=C(N(C2=CC=CC=C2)C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)C=C3)C=C1)=C(C#N)C(C=C7)=CC=C7N(C8=CC=CC=C8)C(C=C9)=CC=C9/C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)/C%12=CC=CC=C%12,JiXiao Fan,,,"Adv.Mater.2019,31,1902365",1061.47,497,660,663,671,,0.59,52.5,,,,,,,AIE,TICT,1,0,1,,,1,1,,0,Jonathan L. Sessler and Tang Ben Zhong ,,,36800,,1,2019,in vitro and in vivo long-term cell tracing applications,,,,, long-term cell tracing applications,10.1002/adma.201902365,THF
1991,BTPE-C4,,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(OCCCCOC4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4)C=C3)C8=CC=CC=C8)=CC=CC=C1,DongFeng Dang,blue,,"Adv.Funct.Mater.2018,28,1707210",750.3,313,,,471,,,68.19,,,,3.78,,,AIE,ESIPT,1,,1,0,1,,1,1,0,TANG benzhong,,,,,1,2018, dynamically monitor and analyze the phase separations in polymeric blends,,,,,,10.1002/adfm.201707210,THF
1992,BTPE-C1,,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(OCOC4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4)C=C3)C8=CC=CC=C8)=CC=CC=C1,DongFeng Dang,blue,,"Adv.Funct.Mater.2018,28,1707210",708.3,311,,,468,,,18.03,,,,0.9,,,AIE,other,1,,1,0,1,,1,1,0,TANG benzhong,,,,,1,2018, dynamically monitor and analyze the phase separations in polymeric blends,,,,,,10.1002/adfm.201707210,THF
1993,BTPE-C8,,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(OCCCCCCCCOC4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4)C=C3)C8=CC=CC=C8)=CC=CC=C1,DongFeng Dang,blue,,"Adv.Funct.Mater.2018,28,1707210",806.4,314,,,472,,,65.2,,,,3.68,,,AIE,other,1,,1,0,1,,1,1,0,TANG benzhong,,,,,1,2018, dynamically monitor and analyze the phase separations in polymeric blends,,,,,,10.1002/adfm.201707210,THF
1994,BTPE-C12,,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(OCCCCCCCCCCCCOC(C=C4)=CC=C4/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C3)C8=CC=CC=C8)=CC=CC=C1,DongFeng Dang,blue,,"Adv.Funct.Mater.2018,28,1707210",864.4,315,,,474,,,21.7,,,,2.1,,,AIE,other,1,,1,0,1,,1,1,0,TANG benzhong,,,,,1,2018, dynamically monitor and analyze the phase separations in polymeric blends,,,,,,10.1002/adfm.201707210,THF
1995,TPAP,,C1(N(C2=CC=C(C3=NC=CC=C3)C=C2)C4=CC=CC=C4)=CC=CC=C1,DongFeng Dang,white,,"Chem.Mater.2018,30,7892−7901",322.15,343,415,425,425,,14.6,49,,,2.39,1.55,,,AIE,other,1,,1,0,1,,1,1,0,TANG benzhong,,,,,1,2018,cell  imaging,vivo imaging,,,,,10.1021/acs.chemmater.8b03495,THF
1996,FKP-POA,,O=C(C1=CC=C(C(C=CC=C2)=C2C3(CCC(C)CCCC(C)C)CCC(C)CCCC(C)C)C3=C1)C4=CC=C(N5C6=CC=CC=C6OC7=C5C=CC=C7)C=C4,FengYan Song ,yellow,NONE,"ACSNano2022,16,6176−6184",731.469,323,588,532,529,,,0.32,0.289,,,,129.8,,AIDF,TICT,1,,1,1,1,1,1,1,0,TANG Ben Zhong,,,6250,,1,2022,cell imaging,lifetime imaging,,,,,10.1021/acsnano.1c11661,THF
1997,HBT-C18,,OC1=CC=C(C[N+](CCCCCCCCCCCCCCCCCCC)(C)C)C=C1C2=NC3=CC=CC=C3S2.[Cl-],"Meng Gao, LuoChao Wang",white,,"Chem.Eur.J.2016,22,5107-112.",586.37,334,450,510,510,,0.2,50.5,8.5,,,,,,AIE,ESIPT,1,1,1,1,1,1,1,1,1,"REN Li, QIN An Jun, TANG Ben Zhong",,,,,1,2016,Anionic Surfactants Detection,Bacterial Imaging,,,,A AIE probe for investigating the interactions of cationic/anionic surfactants and wash-free bacterial imaging.,10.1002/chem.201505202,water
1998,FKP-PTA,,O=C(C1=CC=C(C(C=CC=C2)=C2C3(CCC(C)CCCC(C)C)CCC(C)CCCC(C)C)C3=C1)C4=CC=C(N5C6=CC=CC=C6SC7=C5C=CC=C7)C=C4,FengYan Song ,yellow,NONE,"ACSNano2022,16,6176−6184",747.44,328,,535,537,,,0.206,0.176,,,,109.3,,AIE,TICT,1,,1,1,1,1,1,1,0,TANG Ben Zhong,,,6573,,1,2022,cell imaging,lifetime imaging,,,,,10.1021/acsnano.1c11661,THF
1999,2-CzTPE,,CCN1C2=C(C=CC=C2)C3=C1C=CC(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC=CC=C6)=C3,DongFeng Dang,blue,,"Adv.Electron.Mater.2018,1800354",449.21,330,,,489.6,,,23.12,,,,1.6,,,AIE,other,1,,1,1,1,1,1,1,0,TANG benzhong,,,,,1,2018,OLEDs devices,,,,,,10.1002/aelm.201800354,THF
